label_number,latitude,longitude,mean_intensity,ETA,total_intensity,area,wide_angle,obs_date
4,26,-124,3175.767441860465,2021-07-04 02:49,409674.0,0.0,,2021-07-01 06:35:00
4,26,-124,3175.767441860465,2021-07-04 02:49,409674.0,0.0,,2021-07-01 06:35:00
4,27,-112,2677.987804878049,2021-07-04 03:08,439190.0,0.0,14.945223953877672,2021-07-02 04:35:00
5,27,-99,3347.8260869565215,2021-07-04 00:06,231000.0,1161.207874583109,5.856586678641236,2021-07-03 02:35:00
5,27,-99,3347.8260869565215,2021-07-04 00:06,231000.0,1161.207874583109,5.856586678641236,2021-07-03 02:35:00
2,-31,-125,2935.9591836734694,2021-07-06 22:39,143862.0,2687.242648456834,,2021-07-04 01:45:00
2,-31,-125,2935.9591836734694,2021-07-06 22:39,143862.0,2687.242648456834,,2021-07-04 01:45:00
1,-19,-86,3465.769230769231,2021-07-07 18:46,45055.0,123.60547967997196,1.5077135023707342,2021-07-08 04:35:00
4,28,-113,3441.326589595376,2021-07-10 06:14,1190699.0,0.0,22.219358757928376,2021-07-08 04:35:00
2,-19,-75,3399.521739130435,2021-07-07 16:27,312756.0,753.7052153151506,3.977047819876816,2021-07-09 01:45:00
5,28,-100,3323.463976945245,2021-07-10 00:37,1153242.0,7223.713594259058,13.61695465097452,2021-07-09 01:45:00
4,-23,-94,3144.375,2021-07-11 11:25,150930.0,528.9111616652694,4.226006284456844,2021-07-11 01:15:00
5,-23,-92,3003.16,2021-07-11 10:14,150158.0,520.2255583225088,4.000582806193904,2021-07-11 06:35:00
1,-32,-120,3360.1304347826085,2021-07-15 16:01,1545660.0,11748.00216633557,,2021-07-13 02:05:00
1,-32,-120,3360.1304347826085,2021-07-15 16:01,1545660.0,11748.00216633557,,2021-07-13 02:05:00
1,-32,-103,3364.5578512396696,2021-07-15 07:56,814223.0,3516.371581807931,15.706212001691654,2021-07-14 01:55:00
1,-33,-104,3364.5578512396696,2021-07-15 09:10,814223.0,3448.8914755915303,16.061468608184185,2021-07-14 01:55:00
1,-32,-100,3146.8732394366198,2021-07-15 04:41,670284.0,2725.938619925796,11.434096473920505,2021-07-14 06:35:00
1,-43,-91,3080.261044176707,2021-07-15 05:23,766985.0,2854.7401827568906,14.411188535785755,2021-07-15 02:25:00
2,-30,-91,3510.8164556962024,2021-07-15 03:48,554709.0,1657.2895079590255,8.027680502319868,2021-07-15 02:25:00
1,-43,-91,3080.261044176707,2021-07-15 05:23,766985.0,2854.7401827568906,14.411188535785755,2021-07-15 02:25:00
2,-30,-91,3510.8164556962024,2021-07-15 03:48,554709.0,1657.2895079590255,8.027680502319868,2021-07-15 02:25:00
1,-43,-76,3138.0967741935483,2021-07-14 22:17,778248.0,2364.763933113809,11.347022552544104,2021-07-16 06:35:00
4,-23,-126,3428.9885057471265,2021-07-20 23:48,4176508.0,24484.853405724443,,2021-07-18 01:15:00
8,14,-117,2856.6184210526317,2021-07-20 10:20,434206.0,2269.8142372694506,17.338762234989645,2021-07-18 01:15:00
9,28,-115,3199.226966292135,2021-07-20 06:53,1423656.0,5355.9587494400575,,2021-07-18 01:15:00
4,-23,-126,3428.9885057471265,2021-07-20 23:48,4176508.0,24484.853405724443,,2021-07-18 01:15:00
8,14,-117,2856.6184210526317,2021-07-20 10:20,434206.0,2269.8142372694506,17.338762234989645,2021-07-18 01:15:00
9,28,-115,3199.226966292135,2021-07-20 06:53,1423656.0,5355.9587494400575,,2021-07-18 01:15:00
3,-28,-84,3255.25,2021-07-19 15:28,625008.0,1797.1450009559599,8.815663850116778,2021-07-20 04:35:00
4,-28,-100,2901.3951219512196,2021-07-21 04:17,594786.0,2512.411492965394,11.359239212186026,2021-07-20 04:35:00
5,-18,-107,3701.955399061033,2021-07-21 17:16,3154066.0,12856.753854362936,24.81460163353742,2021-07-20 04:35:00
9,26,-77,3389.748663101604,2021-07-18 22:54,1267766.0,4022.9290710201863,9.978205552434702,2021-07-20 04:35:00
3,-28,-83,3296.15763546798,2021-07-19 15:08,669120.0,1858.9500806009469,8.614567049893822,2021-07-20 06:35:00
4,-19,-104,3470.7623574144486,2021-07-21 14:42,3651242.0,14359.052970068258,25.588117307376564,2021-07-20 06:35:00
8,26,-76,3344.5325779036825,2021-07-18 22:36,1180620.0,3686.2314914754174,8.970185166385306,2021-07-20 06:35:00
4,-28,-87,2920.030303030303,2021-07-20 21:46,192722.0,641.3268563810069,4.61973018218589,2021-07-21 03:45:00
5,-17,-92,3324.2444152431012,2021-07-21 07:52,2529750.0,7834.759635036976,17.849141969477216,2021-07-21 03:45:00
10,30,-123,3673.0997679814386,2021-07-23 22:46,1583106.0,0.0,,2021-07-21 03:45:00
4,-28,-87,2920.030303030303,2021-07-20 21:46,192722.0,641.3268563810069,4.61973018218589,2021-07-21 03:45:00
5,-17,-92,3324.2444152431012,2021-07-21 07:52,2529750.0,7834.759635036976,17.849141969477216,2021-07-21 03:45:00
10,30,-123,3673.0997679814386,2021-07-23 22:46,1583106.0,0.0,,2021-07-21 03:45:00
3,-24,-83,3580.3630136986303,2021-07-21 15:10,1045466.0,2665.5938807456455,10.347725110703436,2021-07-22 06:35:00
4,-15,-76,3224.6247379454926,2021-07-20 22:31,1538146.0,3873.0577349257073,11.756427219208035,2021-07-22 06:35:00
8,19,-113,3902.3720930232557,2021-07-24 07:53,167802.0,332.12402898550846,5.956259702358722,2021-07-22 06:35:00
9,30,-104,3449.7204968944097,2021-07-23 13:49,1110810.0,6780.937759146313,15.46978291267979,2021-07-22 06:35:00
